barcode,sales_date,product_description,quantity_sold
4801668602034,03/01/2023 12:05,DATU PUTI SOY SAUCE 200ML,11
4800361410816,03/01/2023 12:05,BEAR BRAND Powdered Milk Drink Swak by 8,39
4800163443043,03/01/2023 12:05,LIGO GREEN,24
4804888019545,03/01/2023 12:05,WASHED SUGAR 225G,21
4800249006599,03/01/2023 12:05,SAN MARINO CORNED TUNA RED 100G,27
4806504710232,03/01/2023 12:05,MEGA MACKAREL 155G,28
748485802084,03/01/2023 12:05,WOW ULAM CALDERETA 155G,21.75
4800249908848,03/01/2023 12:05,CDO KARNE NORTE 150G,29.5
SC6,03/01/2023 12:05,SHAMPOO/CONDITIONER RETAIL ASST,26
4807770270024,03/01/2023 12:05,LUCKY ME CHICKEN 55G,17
4800016551581,03/01/2023 12:06,NISSIN RAMEN BEEF 55GX72,22
4902430800846,03/01/2023 12:06,TIDE PERFUME FANTASY JUMBO 125G,25
K12,03/01/2023 12:06,KAPE/MILK/OTHER BEVERAGE,12
F9,03/01/2023 12:06,FABCON/ DISHWASHING ASST 9,8
BS18,03/01/2023 12:06,BODY SOAP ASST,19.5
4,03/01/2023 12:06,4,4
SC7,03/01/2023 12:06,SHAMPOO/CONDITIONER 7 ASST RETAIL,21
TP9,03/01/2023 12:06,TOOTHPASTE RETAIL 9,18
P7,03/01/2023 12:06,POWDER ASST RETAIL 7,14
8,03/01/2023 12:07,8,16
SMG11,03/01/2023 12:07,KNORR SINIGANG GABI  11G RETAIL,7
8998666002792,03/01/2023 12:14,KOPIKO CARAMELO TWIN,57.5
48039406,03/01/2023 12:14,MARVELS RED,107
4806515661288,03/01/2023 12:30,JOLY ICE CANDY COLA,140
LIPA,03/01/2023 13:00,LIPA PABORITA BY 10,120
4800523223179,03/01/2023 13:33,PEEWEE BBQ 90G,21
7622210278371,03/01/2023 13:55,EDEN MAYO 220ML,95
8851717200007,03/01/2023 14:00,DUTCHMILL YOUGURT STRAW 90ML,46
4800092552090,03/01/2023 14:00,FUDGEE BARR COMBO,68
4800092553196,03/01/2023 14:00,WHOOPIE CHOCO,0
25,03/01/2023 14:01,25,25
RX8,03/01/2023 14:01,REXONA RETAIL 8,16
4806506318900,03/01/2023 14:04,SISTERS NAPKIN PERFORATED ONYT 4S,28
4802288886040,03/01/2023 14:04,HAPPY DIAPER M 4,25
4800361381086,03/01/2023 14:04,BEAR BRAND Powdered Milk Drink 135g,50
14,03/01/2023 14:04,14,14
4800361393645,03/01/2023 14:04,NESCAFE CLASSIC 46g,41
4809015790335,03/01/2023 14:04,BABY ANNE PANTS MEDIUM 30,173
4800092110023,03/01/2023 14:27,HANSEL MOCHA,53
4808680210957,03/01/2023 14:34,KNORR CRAB & CORN 55G,55
4806502721452,03/01/2023 14:34,GARDENIA FIBER WHEAT 400G,68
4806501597027,03/01/2023 14:35,ANLENE MILK 180G,110
4802288815125,03/01/2023 14:38,HAPPY PANTS XXL12,112
4806506318856,03/01/2023 14:58,SISTERS SILK FLOSS NIGHT 8,25
16,03/01/2023 14:58,16,48
4806506318900,03/01/2023 14:58,SISTERS NAPKIN PERFORATED ONYT 4S,28
4800888209566,03/01/2023 14:58,CREAMSILK COLOR REVIVE 10ML BY12,40
4800888169709,03/01/2023 14:58,SUNSILK STRONG & LONG 13ML BY12,33
143,03/01/2023 14:58,143,0
14,03/01/2023 14:59,14,56
BS18,03/01/2023 14:59,BODY SOAP ASST,19.5
TP9,03/01/2023 14:59,TOOTHPASTE RETAIL 9,18
RX8,03/01/2023 14:59,REXONA RETAIL 8,16
4806500802528,03/01/2023 14:59,MAGIC PANTS XXL10,94
4800092551437,03/01/2023 15:07,MRS. GOODMAN CHUNKEE COOKIES,83
17,03/01/2023 15:07,17,34
4800361381086,03/01/2023 15:11,BEAR BRAND Powdered Milk Drink 135g,50
4800361061322,03/01/2023 15:11,NESTLE All-Purpose Cream 250ML,74
4800575120303,03/01/2023 15:11,ALASKA CONDENSED CLASSIC MILK 300ML,66
4806501709376,03/01/2023 15:14,CALLA POWDER ROSE GARDEN 800G,89
4800010012033,03/01/2023 15:14,GT GRANULES 50gX24 SUP,40
48042772,03/01/2023 15:16,Marlboro Blue FT20s,135.5
4800365671268,03/01/2023 15:48,SNACKERS NACHOS CHEESE 500G,75
40329055,03/01/2023 15:54,CAMEL CIG,176
48041812,03/01/2023 15:54,MIGHTY GREEN FLIPTOP,107
4801668601907,03/01/2023 15:58,DATU PUTI VINEGAR 1.8963 L,86
C18,03/01/2023 16:07,CURLS ASST 18,18.5
4800016622571,03/01/2023 16:07,Pic-A Ultimate Cheddar SN (180gX18),50
4800024562258,03/01/2023 16:07,DM TIDBITS FLAT 227G,34
4800361410892,03/01/2023 16:32,BEAR BRAND Powdered Milk Drink 300g,118
4800092660641,03/01/2023 16:47,CHOCO MUCHO CHOCO BOX 33,72
18,03/01/2023 16:49,18,18
4800361381086,03/01/2023 17:16,BEAR BRAND Powdered Milk Drink 135g,50
4804888019583,03/01/2023 17:16,BROWN SUGAR 450G,40
4801668100288,03/01/2023 17:16,MANG TOMAS SIGA 320G,40
4800249008531,03/01/2023 17:16,SAN MARINO CHILI CORNED TUNA 85G,27
40329055,03/01/2023 17:21,CAMEL CIG,88
4800361410816,03/01/2023 17:26,BEAR BRAND Powdered Milk Drink Swak by 8,78
4800361413480,03/01/2023 17:26,MILO 24G BY 12,47.5
4987176040480,03/01/2023 17:26,HEAD N SHOULDER ANTIBAC BY 12,38
4800888212917,03/01/2023 17:27,DOVE STRAIGHT PINK SH 12ML BY12,32
4902430424264,03/01/2023 17:27,DOWNY ANTIBAC TRIPID 66ML BY6,84
4806501705026,03/01/2023 17:27,CHAMPION 105G BY6,92
4800631001867,03/01/2023 17:28,BOY BAWANG SNACK MIX GARLIC 85G,22
4800631001928,03/01/2023 17:28,BOY BAWANG ASST NUTS 85G,22
4800523220284,03/01/2023 17:28,MOBY CHOCO 25g,6
8993175551069,03/01/2023 17:28,PINK LAVA 50G,55
4806502721452,03/01/2023 17:44,GARDENIA FIBER WHEAT 400G,68
4806500802368,03/01/2023 17:50,MAGIC PANTS L45,285
4800194152327,03/01/2023 17:51,PILLOWS UBE 38g,8
8998666001726,03/01/2023 17:55,KOPIKO BLANCA TP,114
4806511110216,03/01/2023 17:59,BOOSTER 45PCS,0
42,03/01/2023 17:59,42,42
4801288850082,03/01/2023 18:20,THOSE DAYS WINGS 8S,19
40329055,03/01/2023 18:21,CAMEL CIG,88
18,03/01/2023 18:21,18,18
7,03/01/2023 18:22,7,14
C18,03/01/2023 18:22,CURLS ASST 18,18.5
14,03/01/2023 18:22,14,14
BS18,03/01/2023 18:22,BODY SOAP ASST,19.5
4804888019552,03/01/2023 18:22,WASHED SUGAR 450G,41
48044295,03/01/2023 18:23,MARLBORO RED 20'S,135.5
4800365880318,03/01/2023 18:23,SUPER DELIGHT BROWNIES BITES,66
4807770273674,03/01/2023 18:24,PANCIT CANTON KALAMANSI,55
4800888169709,03/01/2023 18:24,SUNSILK STRONG & LONG 13ML BY12,33
12,03/01/2023 18:24,12,36
8410162100234,03/01/2023 18:25,FUNDADOR LIGHT 1L,395
4032900145211,03/01/2023 18:26,MIGHTY BLACK,88
4806507620910,03/01/2023 18:26,SAGO ME,28
4800092110023,03/01/2023 18:26,HANSEL MOCHA,53
P9,03/01/2023 18:26,POWDER ASST 9,0
TP9,03/01/2023 18:26,TOOTHPASTE RETAIL 9,27
6,03/01/2023 18:26,6,18
7,03/01/2023 18:26,7,21
BS18,03/01/2023 18:26,BODY SOAP ASST,39
4800194153225,03/01/2023 18:28,BREAD PAN CHEESE 24g LS,36
4801668100141,03/01/2023 18:28,DATU PUTI VINEGAR 1L,46
4801668500224,03/01/2023 18:28,DATU PUTI SOY SAUCE 1L,54
LIPA,03/01/2023 18:28,LIPA PABORITA BY 10,60
4800092772214,03/01/2023 18:31,CRISS CROSS CHEESE,6
4800194116664,03/01/2023 18:31,PINATTSU,9
4800016633621,03/01/2023 18:31,PIATTOS NACHO PIZZA 40gx80,14.5
JTOCCINO,03/01/2023 18:41,JOSHUA TOCCINO 250G,114
40329055,03/01/2023 18:44,CAMEL CIG,88
4806502720080,03/01/2023 19:09,GARDENIA PANDESAL FAMILY PACK 300G,52
4806531560275,03/01/2023 19:09,JOSHUA HAM COOKED 250G,48
C6,03/01/2023 19:14,CURLS ASST 6.50,24
4800016787027,03/01/2023 19:14,ER Elbow Macaroni 30 x 400g,44
4806506318924,03/01/2023 19:14,SISTERS PANTYLINER 20'S INDV PACK,28
4800030000188,03/01/2023 19:14,IDEAL MACARONI 250G ELBOW,18
4800047841712,03/01/2023 19:15,ZONROX COLORSAFE 450ML,38
9,03/01/2023 19:15,9,27
