barcode,sales_date,product_description,quantity_sold
4.90243E+12,02/01/2023 08:50,DOWNY G BLOOM 24ML BY6,36
4.80036E+12,02/01/2023 09:08,MILO TWIN 48G BY 8,118
20,02/01/2023 09:10,20,20
48039406,02/01/2023 09:19,MARVELS RED,107
4.80489E+12,02/01/2023 09:20,WASHED SUGAR 225G,21
4.80089E+12,02/01/2023 09:20,SURF BAR BLOSSOM FRESH 360G,26
4.90243E+12,02/01/2023 09:20,ARIEL POWDER FLORAL BY6,81
4.90243E+12,02/01/2023 09:33,TIDE POWDER O FRESH BY 6,80
4.80089E+12,02/01/2023 09:34,SURF PWD ROSE 75G BY6,37
4.80002E+12,02/01/2023 09:35,GT WHITE CREMA TWIN 50GX10X12,57.5
4.80036E+12,02/01/2023 09:44,NESTLE CHUCKIE Opti-Grow 250ml,64
4.80901E+12,02/01/2023 09:44,CHOYO CHOYO STICK UBE 380G,52
4.80009E+12,02/01/2023 09:59,SUPERSTIX CHOCO JR.,66
4.80009E+12,02/01/2023 09:59,SUPERSTIX UBE JR.,66
4.80003E+12,02/01/2023 09:59,FLOWER MALLOWS,105
B25,02/01/2023 09:59,ASST BREAD 25S,120
48041812,02/01/2023 10:16,MIGHTY GREEN FLIPTOP,107
4.80196E+12,02/01/2023 10:21,AJINOMOTO 11G,50
4.80901E+12,02/01/2023 10:21,BOSTON PAMINTA DUROG,43
C18,02/01/2023 10:21,CURLS ASST 18,92.5
4.80058E+12,02/01/2023 10:28,ALASKA CONDENSED CLASSIC MILK 300ML,66
4.80901E+12,02/01/2023 10:28,MR HAT GULAMAN WHITE 25G,30
7.48485E+11,02/01/2023 10:28,ANGEL EVAPORADA 365ML,29.5
4.80036E+12,02/01/2023 10:28,NESTLE All-Purpose Cream 250ML,74
4.80489E+12,02/01/2023 10:28,WASHED SUGAR 225G,21
4.90243E+12,02/01/2023 10:41,SAFEGUARD  WHITE 85G,39
4.80036E+12,02/01/2023 10:41,NESCAFE ORIGINAL TWIN by 10,57
4.80089E+12,02/01/2023 10:41,CLEAR SHAMPOO MENTHOL MEN  12ML,33
4.90243E+12,02/01/2023 10:48,ARIEL PASSION PWD PROMO 6+1,81
4.90243E+12,02/01/2023 10:48,DOWNY ANTIBAC 38ML BY6,52
4.90243E+12,02/01/2023 10:48,DOWNY ANTIBAC 25ML BY6,36
4.80037E+12,02/01/2023 11:18,SNACKERS NACHOS CHEESE 500G,75
4.80005E+12,02/01/2023 11:19,ZONROX COLORSAFE 225ML,24.5
16,02/01/2023 11:19,16,48
4.80889E+12,02/01/2023 11:19,COLGATE TBRUSH CLASSIC,18
4.80036E+12,02/01/2023 11:26,TWINPOPS Orange 32x75ml,23
4.80196E+12,02/01/2023 11:26,CRISPY FRY SPICY 1KG,16
4.80129E+12,02/01/2023 11:26,THOSE DAYS WINGS 8S,38
4.80025E+12,02/01/2023 11:27,SAN MARINO CHILI CORNED TUNA 150G,36
95509433,02/01/2023 11:47,Marlboro Black FT20s,135.5
20,02/01/2023 11:50,20,20
7.48486E+11,02/01/2023 11:50,555 TUNA SPICY CALDERETA 155G,27.5
18,02/01/2023 11:51,18,18
4.80651E+12,02/01/2023 11:51,GENERIC LAMPEIN L 15,98
95,02/01/2023 11:53,95,95
20,02/01/2023 12:34,20,20
4.80002E+12,02/01/2023 12:44,TODAYS MIXED FRUITS 8732G,85
4.80036E+12,02/01/2023 12:44,NESTLE All-Purpose Cream 250ML,148
4.8065E+12,02/01/2023 13:00,MAGIC DRI CLOTH XXL10,98
SC6,02/01/2023 13:00,SHAMPOO/CONDITIONER RETAIL ASST,32.5
4.80651E+12,02/01/2023 13:00,SISTERS NET SIDE NIGHT 8,28
65,02/01/2023 13:01,65,65
M COKE,02/01/2023 13:14,COKE MISMO,170
STRAW,02/01/2023 13:32,STRAW SOFTDRINKS,18
4.8065E+12,02/01/2023 13:35,CHAMPION BAR SPRSCLN WHITE 145,10
4.80005E+12,02/01/2023 13:35,ZONROX ORIGINAL 500ML,23
4.80089E+12,02/01/2023 13:35,SURF PWD ROSE 75G BY6,37
4.90243E+12,02/01/2023 13:35,DOWNY SUNRISE FRESH 38ML BY6,52
40329055,02/01/2023 13:39,CAMEL CIG,176
4.8065E+12,02/01/2023 13:57,MAGIC DRI CLOTH XL10,92
4.90243E+12,02/01/2023 13:58,PAMPERS COMFORT REGULAR L12,118
5,02/01/2023 14:03,5,10
4.80865E+12,02/01/2023 14:19,CHEEZ WHIZ PIMIENTO 440G,175
4.80058E+12,02/01/2023 14:20,ALASKA POWDER 300G,90
4.80002E+12,02/01/2023 14:23,GT PREMIUM STICK BAG,57
4.80902E+12,02/01/2023 14:26,BABY ANNE PANTS MEDIUM 30,173
4.80089E+12,02/01/2023 14:26,SURF BAR BLOSSOM FRESH 360G,26
4.80089E+12,02/01/2023 14:26,SURF PWD S.FRESH 65G BY 6,37
8.85001E+12,02/01/2023 14:26,PALMOLIVE SH INTENSIVE BY12,66
4.90243E+12,02/01/2023 14:26,DOWNY G BLOOM 24ML BY6,36
4.80005E+12,02/01/2023 14:26,SMART DISH KALAMANSI 200G,23
4.80005E+12,02/01/2023 14:27,ZONROX ORIGINAL 500ML,23
8.85172E+12,02/01/2023 14:34,DUTCHMILL YOUGURT STRAW 90ML,46
4.80002E+12,02/01/2023 14:45,ROLLER COASTER CHEDDAR 24gx100,14
4.80002E+12,02/01/2023 14:45,PIATTOS CHEESE 40gx80,29
4.80019E+12,02/01/2023 14:45,POTATO FRIES PLAIN 21G,12
4.80002E+12,02/01/2023 14:45,PIATTOS SALTED POTATO NEW GRAM,7
7.48486E+11,02/01/2023 14:45,ARGENTINA C.BEEF 260G,55
4.8065E+12,02/01/2023 14:48,GARDENIA CLASSIC 600g,82
4.80589E+12,02/01/2023 14:48,RENO LIVER BIG,60
C18,02/01/2023 14:49,CURLS ASST 18,37
4.80002E+12,02/01/2023 14:49,MAGIC FLAKES PLAIN 10+1 (28GX11X40),52
4.80009E+12,02/01/2023 14:49,HANSEL MOCHA,53
4.80036E+12,02/01/2023 14:50,BEAR BRAND Powdered Milk Drink Swak by 8,78
4.80036E+12,02/01/2023 14:50,BEAR BRAND Powdered Milk Drink 680G,265
10,02/01/2023 14:50,10,10
7.6223E+12,02/01/2023 14:52,OREO MINI CHOCO CUP,35
4.80002E+12,02/01/2023 14:56,GT ORIGINAL 3-IN-1 TWIN PACK (33GX10X24),82
4.80055E+12,02/01/2023 15:03,CHIPS DELIGHT 80G,58
4.80009E+12,02/01/2023 15:03,HANSEL CRACKERS,53.5
4.80652E+12,02/01/2023 15:04,JERSEY COND MILK 390G,86
48039871,02/01/2023 15:07,WINSTON LIGHT,126
4.80002E+12,02/01/2023 15:07,JNJ-CALBEE POT.CHPS HONEY BTR 22gX80,43.5
7.48485E+11,02/01/2023 15:07,BIRCHTREE POWDER 300G,91
5,02/01/2023 15:09,5,5
4.80001E+12,02/01/2023 15:14,CLOD 9 CLASSIC 28G,88
22,02/01/2023 15:17,22,22
5,02/01/2023 15:18,5,5
20,02/01/2023 15:35,20,20
4.80089E+12,02/01/2023 15:45,CREAMSILK HAIR FALL 11ML BY12,37
4.80889E+12,02/01/2023 15:45,PALMOLIVE GREEN by 12,61
60,02/01/2023 15:49,60,60
4.80089E+12,02/01/2023 15:50,SUNSILK STRONG & LONG 13ML BY12,33
K7,02/01/2023 15:50,KAPE/MILK/OTHER BEVERAGE,28
TP10,02/01/2023 15:50,TOOTHPASTE ASST 11,11
BS18,02/01/2023 15:50,BODY SOAP ASST,19.5
RX8,02/01/2023 15:50,REXONA RETAIL 8,16
48041812,02/01/2023 15:52,MIGHTY GREEN FLIPTOP,107
7.48485E+11,02/01/2023 15:53,BIRCHTREE FORTIFIED 33G by 8,68
K10,02/01/2023 15:53,KAPE/MILK/OTHER BEVERAGE,20
4.8065E+12,02/01/2023 15:53,CALLA POWDER 45G BY 6,33
4.80005E+12,02/01/2023 15:53,ZONROX LEMON 100ML,10
K16,02/01/2023 15:56,KAPE/MILK/OTHER BEVERAGE,80
20,02/01/2023 16:07,20,20
25,02/01/2023 16:07,25,25
7.48486E+11,02/01/2023 16:14,ARGENTINA GINILING 250G,42
4.80009E+12,02/01/2023 16:14,MILKEE CHOCO COATED POLVORON,75
4.80002E+12,02/01/2023 16:28,NOVA SWEET CHILI,58
4.80129E+12,02/01/2023 16:28,HAPPY COTTON 10G,4.5
4.80489E+12,02/01/2023 16:42,WHITE SUGAR 225G,23.5
4.80489E+12,02/01/2023 16:42,WASHED SUGAR 450G,41
9.55773E+12,02/01/2023 16:42,DOREEN CONDENSADA 390G,50
4.80002E+12,02/01/2023 16:52,GG TORTILLOS CHEESE 25gX100,28
4.80196E+12,02/01/2023 16:52,CRISPY FRY ORIG 62g,16
J18,02/01/2023 16:52,JUICE ASST LITRO,20
RX8,02/01/2023 16:59,REXONA RETAIL 8,8
SC6,02/01/2023 16:59,SHAMPOO/CONDITIONER RETAIL ASST,13
TP9,02/01/2023 16:59,TOOTHPASTE RETAIL 9,9
K12,02/01/2023 16:59,KAPE/MILK/OTHER BEVERAGE,24
48040884,02/01/2023 17:00,WINSTON RED 10'S BY 2,126
15,02/01/2023 17:00,15,45
16,02/01/2023 17:02,16,16
40329055,02/01/2023 17:02,CAMEL CIG,88
48041812,02/01/2023 17:05,MIGHTY GREEN FLIPTOP,107
18,02/01/2023 17:06,18,18
4.80002E+12,02/01/2023 17:19,NISSIN MINI SPICY HOT BEEF 45GX48,21
4.80777E+12,02/01/2023 17:19,PANCIT CANTON SWEET SPICY,27.5
6,02/01/2023 17:24,6,6
5,02/01/2023 17:25,5,5
4.80009E+12,02/01/2023 17:29,HANSEL MILK,53
4.90243E+12,02/01/2023 17:54,PANTENE SHM HFALL 12ML BY12,43.5
4.80198E+12,02/01/2023 17:55,WILKINS DISTILLED 7L,85
4.80651E+12,02/01/2023 18:04,SISTERS SILK FLOSS NIGHT 8,25
4.80049E+12,02/01/2023 18:04,CHARMEE NON WING 8S,19
8.996E+12,02/01/2023 18:08,KOPIKO BLANCA SINGLE,76
4.80198E+12,02/01/2023 18:29,WILKINS DISTILLED 7L,85
4.80002E+12,02/01/2023 18:46,NISSIN RAMEN CREAMY SEAFOOD 72s,13.5
4.80002E+12,02/01/2023 18:46,NISSIN RAMEN SPICY SEAFOOD 59GX72,27
4.80777E+12,02/01/2023 18:47,LUCKY ME BEEF 55G,25.5
4.8065E+12,02/01/2023 18:47,GARDENIA CALI RAISIN 400G,89
4.80889E+12,02/01/2023 18:47,PUREFOODS CORNED BEEF 380G,340
4.80868E+12,02/01/2023 18:48,LADYS CHOICE SANDWICH SPREAD CHICKEN 80ML,38
4.80063E+12,02/01/2023 18:57,BOY BAWANG ASST NUTS 85G,22
J18,02/01/2023 18:57,JUICE ASST LITRO,20
21,02/01/2023 18:57,21,21
4.80009E+12,02/01/2023 19:00,FUDGEE BARR COMBO,68
60,02/01/2023 19:08,60,120
J18,02/01/2023 19:08,JUICE ASST LITRO,40
4.80045E+12,02/01/2023 19:10,LALA FISH CRACKER 100G,27
C18,02/01/2023 19:13,CURLS ASST 18,18.5
4.80036E+12,02/01/2023 19:13,KIMY Milky Stick 40x43g,46
18,02/01/2023 19:13,18,18
4.80889E+12,02/01/2023 19:19,PUREFOODS CORNED BEEF 380G,170
18,02/01/2023 19:25,18,18
15,02/01/2023 19:25,15,15
4.80777E+12,02/01/2023 19:25,PANCIT CANTON CHILIMANSI,55
6,02/01/2023 19:25,6,0
120,02/01/2023 19:26,120,120
5,02/01/2023 19:28,5,5
78,02/01/2023 19:30,78,78
4.80777E+12,02/01/2023 19:40,LUCKY ME BEEF 55G,34
4.80777E+12,02/01/2023 19:41,PANCIT CANTON SWEET SPICY,27.5
4.8065E+12,03/01/2023 08:16,GARDENIA FIBER WHEAT 400G,68
60,03/01/2023 08:26,60,60
7.62221E+12,03/01/2023 08:54,CHEEZ WHIZ PIMIENTO SUP 200G,88
4.80002E+12,03/01/2023 08:55,NOVA SWEET CHILI,14.5
4.80653E+12,03/01/2023 08:59,CANTON MED 200G,34
136,03/01/2023 09:03,136,136
4.80777E+12,03/01/2023 09:04,NISSIN BUTTER COCONUT,52
O,03/01/2023 09:05,OIL RETAIL,26
14,03/01/2023 09:07,14,14
M COKE,03/01/2023 09:12,COKE MISMO,170
60,03/01/2023 09:12,60,60
100,03/01/2023 09:20,100,100
4.80009E+12,03/01/2023 09:31,COMBI TRIPLE CHOCO 30G,53.5
4.80013E+12,03/01/2023 09:31,ICED GEM,67
80,03/01/2023 09:49,80,80
48041812,03/01/2023 09:54,MIGHTY GREEN FLIPTOP,107
4.80489E+12,03/01/2023 09:54,WASHED SUGAR 225G,42
4.80041E+12,03/01/2023 10:33,MARCAPINA SOYSAUCE 350ML,21
4.80167E+12,03/01/2023 10:33,DATU PUTI VINEGAR 350ML,18
50,03/01/2023 10:34,50,50
8.99887E+12,03/01/2023 10:46,WINGS PINK PWD BY 6,216
4.80123E+12,03/01/2023 10:59,BAYGON KATOL RED 150G,40
4.80002E+12,03/01/2023 11:03,ROYAL ALUM FOIL 8M,29
4.80489E+12,03/01/2023 11:09,WASHED SUGAR 450G,41
4.80036E+12,03/01/2023 11:09,NESCAFE CLASSIC 46g,41
4.80036E+12,03/01/2023 11:24,NESTLE COFFEE MATE 220G,74
4.80002E+12,03/01/2023 12:05,PYLS XB PCANTON SWEET &amp; SPICY 48s,18
4.80002E+12,03/01/2023 12:05,NISSIN RAMEN CREAMY SEAFOOD 72s,27
O,03/01/2023 12:05,OIL RETAIL,26
4.80167E+12,03/01/2023 12:05,DATU PUTI SOY SAUCE 200ML,11
4.80036E+12,03/01/2023 12:05,BEAR BRAND Powdered Milk Drink Swak by 8,39
4.80016E+12,03/01/2023 12:05,LIGO GREEN,24
4.80489E+12,03/01/2023 12:05,WASHED SUGAR 225G,21
4.80025E+12,03/01/2023 12:05,SAN MARINO CORNED TUNA RED 100G,27
4.8065E+12,03/01/2023 12:05,MEGA MACKAREL 155G,28
7.48486E+11,03/01/2023 12:05,WOW ULAM CALDERETA 155G,21.75
4.80025E+12,03/01/2023 12:05,CDO KARNE NORTE 150G,29.5
SC6,03/01/2023 12:05,SHAMPOO/CONDITIONER RETAIL ASST,26
4.80777E+12,03/01/2023 12:05,LUCKY ME CHICKEN 55G,17
4.80002E+12,03/01/2023 12:06,NISSIN RAMEN BEEF 55GX72,22
4.90243E+12,03/01/2023 12:06,TIDE PERFUME FANTASY JUMBO 125G,25
K12,03/01/2023 12:06,KAPE/MILK/OTHER BEVERAGE,12
F9,03/01/2023 12:06,FABCON/ DISHWASHING ASST 9,8
BS18,03/01/2023 12:06,BODY SOAP ASST,19.5
4,03/01/2023 12:06,4,4
SC7,03/01/2023 12:06,SHAMPOO/CONDITIONER 7 ASST RETAIL,21
TP9,03/01/2023 12:06,TOOTHPASTE RETAIL 9,18
P7,03/01/2023 12:06,POWDER ASST RETAIL 7,14
8,03/01/2023 12:07,8,16
SMG11,03/01/2023 12:07,KNORR SINIGANG GABI  11G RETAIL,7
8.99867E+12,03/01/2023 12:14,KOPIKO CARAMELO TWIN,57.5
48039406,03/01/2023 12:14,MARVELS RED,107
4.80652E+12,03/01/2023 12:30,JOLY ICE CANDY COLA,140
LIPA,03/01/2023 13:00,LIPA PABORITA BY 10,120
4.80052E+12,03/01/2023 13:33,PEEWEE BBQ 90G,21
7.62221E+12,03/01/2023 13:55,EDEN MAYO 220ML,95
8.85172E+12,03/01/2023 14:00,DUTCHMILL YOUGURT STRAW 90ML,46
4.80009E+12,03/01/2023 14:00,FUDGEE BARR COMBO,68
4.80009E+12,03/01/2023 14:00,WHOOPIE CHOCO,0
25,03/01/2023 14:01,25,25
RX8,03/01/2023 14:01,REXONA RETAIL 8,16
4.80651E+12,03/01/2023 14:04,SISTERS NAPKIN PERFORATED ONYT 4S,28
4.80229E+12,03/01/2023 14:04,HAPPY DIAPER M 4,25
4.80036E+12,03/01/2023 14:04,BEAR BRAND Powdered Milk Drink 135g,50
14,03/01/2023 14:04,14,14
4.80036E+12,03/01/2023 14:04,NESCAFE CLASSIC 46g,41
4.80902E+12,03/01/2023 14:04,BABY ANNE PANTS MEDIUM 30,173
4.80009E+12,03/01/2023 14:27,HANSEL MOCHA,53
4.80868E+12,03/01/2023 14:34,KNORR CRAB & CORN 55G,55
4.8065E+12,03/01/2023 14:34,GARDENIA FIBER WHEAT 400G,68
4.8065E+12,03/01/2023 14:35,ANLENE MILK 180G,110
4.80229E+12,03/01/2023 14:38,HAPPY PANTS XXL12,112
4.80651E+12,03/01/2023 14:58,SISTERS SILK FLOSS NIGHT 8,25
16,03/01/2023 14:58,16,48
4.80651E+12,03/01/2023 14:58,SISTERS NAPKIN PERFORATED ONYT 4S,28
4.80089E+12,03/01/2023 14:58,CREAMSILK COLOR REVIVE 10ML BY12,40
4.80089E+12,03/01/2023 14:58,SUNSILK STRONG & LONG 13ML BY12,33
143,03/01/2023 14:58,143,0
14,03/01/2023 14:59,14,56
BS18,03/01/2023 14:59,BODY SOAP ASST,19.5
TP9,03/01/2023 14:59,TOOTHPASTE RETAIL 9,18
RX8,03/01/2023 14:59,REXONA RETAIL 8,16
4.8065E+12,03/01/2023 14:59,MAGIC PANTS XXL10,94
4.80009E+12,03/01/2023 15:07,MRS. GOODMAN CHUNKEE COOKIES,83
17,03/01/2023 15:07,17,34
